from,to,date_from,date_to,place_from
"Jean de la Fin, Seigneur de Beauvoir la Nocle","Sir William Cecil, Lord Burghley",15910108,15910118,London
Scottish Pledges,"Thomas Cecil, Earl of Exeter",15990101,15991231,NA
Herman Langerman,Sir Walter Mildmay,15800101,15891231,NA
Sir Francis Vere,Privy Council,16010628,16010628,Riesneek
Privy Council,"Thomas Howard, 4th Duke of Norfolk",15600615,15600615,Greenwich
"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",Consul at Algiers,16020920,16020920,NA
Edmund Bannaster,Sir Francis Walsingham,15880412,15880412,Bergen op Zoom
"Thomas Cecil, Earl of Exeter","Sir William Cecil, Lord Burghley",15691202,15691202,York
"William Warham, Archbishop of Canterbury",Sir H. Guildford,15280422,15280422,Otford
John Weston,Peter Edgecomb,15830703,15830703,NA
Edward Chester,Queen Elizabeth I,15750709,15750709,Dordrecht
Francis Mowbray,"Sir Robert Cecil, Earl of Salisbury",16000902,16000902,London
Sir John Chaworthe,"Edward Seymour, Duke of Somerset, Lord Protector",15470101,15471231,NA
Sir John Puckering,"John May, Bishop of Carlisle",15930101,15931231,NA
Sir William Brabazon,"Thomas Cromwell, Earl of Essex",15280516,15280516,Daventry
Sir Thomas Gresham,Privy Council,15551111,15551111,Antwerp
"Philip Barrye, of Inishonane, in the county of Cork","Sir William Cecil, Lord Burghley",15900101,15901231,NA
"Charles Blount, Baron Mountjoy and Earl of Devonshire","Sir Robert Cecil, Earl of Salisbury",16010204,16010204,NA
Robert Beale,"Sir Robert Cecil, Earl of Salisbury",16000301,16000301,London
Sir Philip Hoby,Thomas Starkey,15360423,15360423,Hevora
Juan de Vega (Ambassador in Rome),"Holy Roman Emperor Charles V, (King Charles I of Spain)",15460323,15460323,NA
Sir Ralph Winwood,John Chamberlaine,16000426,16000426,NA
Ambassador Archibald Douglas,Privy Council,15710701,15710731,NA
Lord General Sir John Norreys,"Sir William Cecil, Lord Burghley",15941010,15941010,Camp at Crozon fort
Master of Maxwell,Lord Henry Scrope,15651011,15651011,Annan
Privy Council,"Charles Brandon, Duke of Suffolk",15430719,15430719,NA
Richard Hadsor,"Sir Robert Cecil, Earl of Salisbury",15980527,15980527,London
Sir William Browne,"Sir Robert Cecil, Earl of Salisbury",16021125,16021125,NA
"Robert Weston, Lord Chancellor of Ireland",Captain William Piers the elder,15680312,15680312,Dublin
Charles de Marillac,"Francis I, King of France",15410830,15410830,NA
"Francis Russell, Earl of Bedford",Queen Elizabeth I,15610213,15610213,Paris
Sir Nicholas Throckmorton,"Sir William Cecil, Lord Burghley",15650512,15650512,Berwick
Sir Thomas Spinelly,"Christopher Bainbridge, Archbishop of York",15130101,15131231,NA
Philip Landgrave of Hesse,Queen Elizabeth I,15621220,15621220,Marburg
Pope Clement VII,Henry VIII,15220112,15220112,Rome
"Francis Talbot, Earl of Shrewsbury",Privy Council,15440828,15440828,Darlington
Sir Francis Walsingham,Thomas Randolph,15780316,15780316,NA
Sir Henry Knyvett,"Arthur Plantagenet, Lord Lisle",15350620,15350620,Windsor
Sir Thomas Wilkes (Wylkes),Queen Elizabeth I,15870216,15870216,Hague
Robert Bowes,Sir Francis Walsingham,15840111,15840111,Newcastle-upon-Tyne
Sir John Perrott,Sir Francis Walsingham,15860207,15860207,Dublin Castle
Sir Ralph Sadler,Sir Francis Walsingham,15841119,15841119,Wingfield Castle
Thomas Beverley,"Sir William Cecil, Lord Burghley",15950101,15950331,NA
Ed. Miles,"Sir William Cecil, Lord Burghley",15710225,15710225,NA
William Damsell,Privy Council,15460320,15460320,Antwerp
William Maitland of Lethington,Sir William Drury,15720428,15720428,Edinburgh Castle
Queen Elizabeth I,"Henry Norris, Baron Norris",15680502,15680502,NA
"Sir William Cecil, Lord Burghley",Sir William Keith,15861206,15861206,NA
Sir Nicholas Throckmorton,Queen Elizabeth I,15670814,15670814,Edinburgh
Sir William Eure,Henry VIII,15461225,15461225,NA
"George Talbot, 6th Earl of Shrewsbury","Sir William Cecil, Lord Burghley",15691217,15691217,NA
"Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)","Thomas Howard, Duke of Norfolk",15240728,15240728,Morpeth
Sir James Croft,Privy Council,15590317,15590317,Berwick
Andrew Osiander,"Thomas Cranmer, Archbishop of Canterbury",15380124,15380124,NA
John Husee,"Arthur Plantagenet, Lord Lisle",15370721,15370721,St. Katharine's
Nicholas Raince,"Anne de Montmorency, Duc de Montmorency",15310412,15310412,Rome
Sir Brian Stapleton,"Thomas Cromwell, Earl of Essex",15370813,15370813,Burton Jorce
Privy Council,Sir John Conway,15890423,15890423,York Place
Lord Henry Scrope,"Sir William Cecil, Lord Burghley",15650619,15650619,Carlisle
Ambroise de Mouy,"Sir William Cecil, Lord Burghley",15941118,15941128,De votre maison (Aachen)
Anthony Hode,Whitefield,15940220,15940220,Bordeaux
"Robt. Sherbourne, Bishop of Chichester","Thomas Cromwell, Earl of Essex",15340421,15340421,Aldingbourne
"Rowland Phillips, vicar of Croydon",Cardinal Thomas Wolsey,15290831,15290831,London
"Henry Clifford, 1st Earl of Cumberland",Henry VIII,15341027,15341027,Skipton Castle
Sir John Hussey,"George Talbot, 4th Earl of Shrewsbury",15361006,15361006,Sleaford
"Francois de Bourbon, Prince of Conde","Robert Devereux, Earl of Essex",15951013,15951023,Paris
Adam Loftus,Sir Francis Walsingham,15770316,15770316,Tallaght
"Mary, Queen of Scots",Queen Elizabeth I,15650828,15650828,Stirling
William Denys,Queen Elizabeth I,15990701,15990731,NA
"William Wickham, Bishop of Winchester","Sir William Cecil, Lord Burghley",15940101,15941231,NA
Margaret,Cardinal Thomas Wolsey,15160110,15160110,Brussels
"Hugh O'Neill, Earl of Tyrone",Captain William Warren,15970413,15970413,Dungannon
Sir Anthony Mildmay,"Sir Robert Cecil, Earl of Salisbury",15990521,15990521,NA
"John Taylor, Master of the Rolls",Cardinal Thomas Wolsey,15280101,15281231,NA
Sir Thomas Norris (Norreys),Sir Christopher Hatton,15860904,15860904,Dublin
Corporation of Youghal,Sir Edward Bellingham,15480715,15480715,Youghal
King James VI,William Davison,15861025,15861025,Stirling Castle
John London,"Richard Rich, Baron Rich",15390718,15390718,Lincoln
Queen Elizabeth I,Lord Claud Hamilton,15841006,15841006,Oatlands
John Brende,"Edward Seymour, Duke of Somerset, Lord Protector",15480729,15480729,Berwick
"Eric XIV, King of Sweden",Queen Elizabeth I,15590726,15590726,Stockholm
Doctor Meredith Hanmer,"Sir William Cecil, Lord Burghley",15940323,15940323,Dublin
"Cardinal Reginald Pole, Archbishop of Canterbury",Pope Paul III,15460826,15460826,NA
Queen Elizabeth I,Richard Tomson,15830101,15831231,NA
Francis Penkevell,William Carnsew jun.,15761010,15761010,NA
Hugh Owen,John Owen,15930430,15930510,NA
Desiderius Erasmus,"William Warham, Archbishop of Canterbury",15210823,15210823,Bruges
Gilbert Gifford (Giffard),Sir Francis Walsingham,15860711,15860711,NA
Lord Cahir,"William Lyon, Bishop of Cork and Ross",15990101,15991231,Cahir
"Cardinal Reginald Pole, Archbishop of Canterbury","Bernardo de Fresneda, Confessor Arnheim to Philip II, King of Spain",15531001,15531031,NA
Sir Edward Carne,Henry VIII,15410901,15410901,Brussels
King James VI,George Douglas of Parkhead,15810909,15810909,Paris
Sir Edw. Mountagu,Sir Walter Mildmay,15810412,15810412,NA
John Harrys,"Honor Plantagenet, Lady Lisle",15390516,15390516,London
Sir Valentine Browne,"Sir William Cecil, Lord Burghley",15740306,15740306,Berwick
Margaret,Cardinal Thomas Wolsey,15190324,15190324,Mechlin
Sir Francis Walsingham,William Davison,15790311,15790311,NA
Lord Mayor and aldermen of London,"Sir Robert Cecil, Earl of Salisbury",16010212,16010212,London
Dr. Oritz,"Holy Roman Emperor Charles V, (King Charles I of Spain)",15321016,15321016,Rome
"Inigo Mendoza, Bishop of Burgos","Holy Roman Emperor Charles V, (King Charles I of Spain)",15290116,15290116,NA
John Mawdysley,Henry VIII,15370101,15371231,NA
"Robert Devereux, Earl of Essex","Sir William Cecil, Lord Burghley",15790101,15791231,Cambridge
Council of Scotland,"John Stewart (Stuart), Duke of Albany",15171007,15171007,Edinburgh
Lord General Sir John Norreys,"Sir William Cecil, Lord Burghley",15930907,15930907,"Lanvollon, near Guingamp"
Captain Thomas Reade,"Sir Robert Cecil, Earl of Salisbury",15990214,15990214,Dublin
Edmund Harvel,Henry VIII,15430603,15430603,Venice
"Francis Russell, Earl of Bedford","Sir William Cecil, Lord Burghley",15640520,15640520,Berwick
Deputy Governor of Ostend and others,Privy Council,15930423,15930423,Ostend
Sir Thomas Fane,"Henry Brooke, Baron Cobham",16010630,16010630,Dover Castle
"Henry III, King of France",Monsieur de Courcelles,15870601,15870601,NA
John Veer,Cardinal Thomas Wolsey,15260809,15260809,Colchester
Sir Richard Cockburn,"Sir Robert Cecil, Earl of Salisbury",15940925,15940925,London
Anthoine Brusset,"Arthur Plantagenet, Lord Lisle",15360919,15360919,Ayre
Sir William Eure,James V,15390131,15390131,Berwick
Captain John Dowdall,Sir Francis Walsingham,15820424,15820424,Cork
"Bonnivet, Admiral of France",Cardinal Thomas Wolsey,15200221,15200221,Cognac
Robert Wingfield,Henry VIII,15141219,15141219,Innsbruck
Robert Wingfield,Cardinal Thomas Wolsey,15230322,15230322,Mechlin
John Popham,"Sir Robert Cecil, Earl of Salisbury",16010826,16010826,Littlecote
"Hugh Brady, Bishop of Meath","Sir William Cecil, Lord Burghley",15650110,15650110,NA
"John Lesley, Bishop of Ross","Mary, Queen of Scots",15710801,15710831,Ely Place
Sir William Drury,Sir Francis Walsingham,15790306,15790306,Waterford
John Peyton,"Sir Robert Cecil, Earl of Salisbury",16010309,16010309,The Tower
"Ambrose Dudley, Earl of Warwick",Privy Council,15621030,15621030,Havre de Grace
George Gilpin,"Sir Robert Cecil, Earl of Salisbury",16020821,16020821,NA
"Thos. Solubrinensis, Prior of Carswell","Honor Plantagenet, Lady Lisle",15330518,15330518,Carswell
Mr. JOhn Perpoynt,Henry Jackman,16020420,16020420,NA
"Thomas Howard, 4th Duke of Norfolk","Sir William Cecil, Lord Burghley",15600216,15600216,Newcastle-upon-Tyne
Philip O'Reilly,Privy Council,15911010,15911010,NA
Bishop Tunstall,Cardinal Thomas Wolsey,15160917,15160917,Calais
"Ferdinand I, Holy Roman Emperor",Queen Elizabeth I,15590508,15590508,Augsburg
Lieutenant Richard Greame,"George Carew, Earl of Totnes",16000101,16001231,NA
Queen Elizabeth I,"Sir Thomas Radcliffe, earl of Sussex",15691024,15691024,NA
Henry VIII,"Charles Brandon, Duke of Suffolk",15361202,15361202,Court at Richmond
alderman and burgesses of Stamford,"Sir William Cecil, Lord Burghley",15541218,15541218,NA
Archbishop of Toledo,"Holy Roman Emperor Charles V, (King Charles I of Spain)",15310521,15310521,Illiescas
Richard Lyst,"Thomas Cromwell, Earl of Essex",15330412,15330412,Greenwich
Francis Yaxley,"Sir William Cecil, Lord Burghley",15530420,15530420,NA
Gerald Comerford,Sir William Fitzwilliam,15890122,15890122,Downymulvihill
Dr. Wm. Bruce,"Sir Robert Cecil, Earl of Salisbury",15970101,16101231,NA
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15620504,15620504,NA
Cardinal John Salviati,Henry VIII,15281228,15281228,Paris
"John Stewart (Stuart), Duke of Albany","Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15150826,15150826,Edinburgh
Mr. Whittingham,"Sir William Cecil, Lord Burghley",15631219,15631219,NA
Sir Edward Howard,Cardinal Thomas Wolsey,15130319,15130319,NA
Richard Carmarden,"Thomas Sackville, Baron Buckhurst, Earl of Dorset",16020701,16020731,NA
Edward Thwaytes,"Thomas Cromwell, Earl of Essex",15361122,15361122,NA
"Jean de la Fin, Seigneur de Beauvoir la Nocle",Privy Council,15920610,15920610,London
Queen Elizabeth I,Sir Thomas Gresham,15610226,15610226,NA
"Fernando Alvarez de Toledo, Duke of Alba (Alva)",Sir William Petre,15560907,15560907,Padua
Captain George Thornton,Sir William Russell,15951001,15951001,NA
Dr. Junio De Junius a Wettsio,Sir Francis Walsingham,15870522,15870522,Heidelberg
"Sir William Cecil, Lord Burghley",Thomas Fanshawe,15910711,15910711,NA
Justices of the Isle of Ely,Privy Council,15860612,15860612,Ely
"Lewis XII, King of France",Archbishop of St. Andrew's and Commendatory of Murray,15110101,15111231,NA
William Fleetwood (Fletewoode),"Sir William Cecil, Lord Burghley",15750813,15750813,NA
Sir James Croft,"Sir William Cecil, Lord Burghley",15590605,15590605,Berwick
Peter Vannes,Queen Mary I,15530813,15530813,Venice
"Gilbert Lyttelton, Sheriff of Worcester",Privy Council,15851024,15851024,NA
"John Dymock (c.1493–1585), London merchant and diplomatic agent","William Paget, Lord Paget",15460702,15460702,Bremen
Queen Elizabeth I,Nicholas Wotton,15600624,15600624,Greenwich
Queen Elizabeth I,"Mary, Queen of Scots",15830406,15830406,NA
Queen Elizabeth I,Sir Roger Williams,15930223,15930223,Somerset House
Robert Bowes,Sir Francis Walsingham,15840213,15840213,Berwick
Miler Magragh,Privy Council,15821012,15821012,Dublin
Andrew Martin,Sir William Drury,15790718,15790718,Castlemaine
King James VI,"Sir Robert Cecil, Earl of Salisbury",16021001,16021031,NA
John Morgan,"Sir William Cecil, Lord Burghley",15830701,15830731,NA
Henry VIII,Sir Henry Vernon,15130115,15130115,Greenwich
"Henry Norris, Baron Norris",Queen Elizabeth I,15680807,15680807,Paris
Capt. William Bowen,Sir John Perrott,15841117,15841117,Camp in Lesbryn in Clandebuye
"Robert Sidney, Earl of Leicester","Robert Devereux, Earl of Essex",15951212,15951212,Flushing
"Tobias Matthew, Archbishop of York","Sir Robert Cecil, Earl of Salisbury",15970507,15970507,Carlisle
Sir Thomas Spinelly,Henry VIII,15170929,15170929,St. Vincent
"John Dudley, Duke of Northumberland",Henry VIII,15460730,15460730,Melun
"Stephen Gardiner, Bishop of Winchester",Henry VIII,15441109,15441109,Brussels
"William Paulet, Marquess of Winchester",John Easton,15631127,15631127,NA
William Davison,"Sir William Cecil, Lord Burghley",15771118,15771118,Antwerp
Captain John Carvell,"William Grey, Baron Grey of Wilton",15611004,15611004,Berwick
Arthur Capell,"Sir Robert Cecil, Earl of Salisbury",15960723,15960723,Little Hadham
Sir Reynold Carnaby,"Ralph Neville, Earl of Westmorland",15381226,15381226,Hexham
Estates General,Queen Elizabeth I,15900801,15900831,Hague
Thomas Tebold,"Thomas Cromwell, Earl of Essex",15381212,15381212,Padua
"Charles IX, King of France",Queen Elizabeth I,15700522,15700522,Ploermel
John Brigantyne,"Sir William Cecil, Lord Burghley",15680202,15680202,Vienna
Richard Johnson,John Johnson,15461109,15461109,London
Privy Council,Adam Loftus,15830729,15830729,Greenwich
Feltmakers,Queen Elizabeth I,15790101,15791231,NA
Michael Stanhope,Sir Michael Hicks (Hickes),15940101,16031231,NA
Simon Mountfort,"Thomas Cromwell, Earl of Essex",15310731,15310731,Kyngyshurst
"Sir Robert Cecil, Earl of Salisbury",Robert Bowes,15970607,15970607,Greenwich
Robert Browne of Walcot,John Hanby,15471022,15581022,Walcotte
William Darrell,Sir Christopher Hatton,15790220,15790220,Fleet
Francois Van der Delft,"Nicholas de Perrenot, Sieur de Granvelle",15460125,15460125,London
Queen Elizabeth I,Philip Count of Hohenloe,15891028,15891028,NA
Anthony Sentleger,Privy Council,15510106,15510106,NA
Robert Anselm,Mutio de Angelis,15950430,15950430,London
James Lawson,"Thomas Cromwell, Earl of Essex",15380311,15380311,Newcastle-upon-Tyne
"Jean de la Fin, Seigneur de Beauvoir la Nocle","Sir William Cecil, Lord Burghley",15920101,15920101,London
Sir William Fitzwilliam,Privy Council,15740101,15741231,NA
Council of The North,Queen Katherine Parr,15440803,15440803,NA
"Episcopus Seguntinus, Bishop of Siguenza",Henry VIII,15190630,15190630,NA
P. Beutterich,Sir Francis Walsingham,15841120,15841120,Heidelberg
Stephen Vaughan,"Thomas Cromwell, Earl of Essex",15331101,15331101,NA
Town of Antwerp,"Thomas Cromwell, Earl of Essex",15370814,15370814,Antwerp
Sir Francis Walsingham,Thomas Sackford,15800526,15800526,The Court
"Tobias Matthew, Archbishop of York","Sir William Cecil, Lord Burghley",15920101,15921231,NA
"Thomas Paget, Lord Paget","Sir William Cecil, Lord Burghley",15810101,15811231,NA
Sir William Fitzwilliam,Queen Elizabeth I,15680414,15680414,Carrickfergus
Sir Walter Mildmay,The bailiffs of co. Merioneth,15871216,15880521,NA
"Holy Roman Emperor Charles V, (King Charles I of Spain)","Inigo Mendoza, Bishop of Burgos",15270729,15270729,Valladolid
"John Alcok, Mayor, and the Corporation of Canterbury","Thomas Cromwell, Earl of Essex",15380423,15380423,Canterbury
Sir Thomas Tempest,"Thomas Cromwell, Earl of Essex",15370627,15370627,NA
"Anne, Lady Hungerford",Jane Dormer Duchess of Feria,15700320,15700320,Hatherop
Richard Clough,Sir Thomas Gresham,15590102,15590102,NA
"Thomas Jenyson, Auditor","Sir William Cecil, Lord Burghley",15750203,15750203,Dublin Castle
"William Paulet, Marquess of Winchester",Thomas Fanshawe,15650526,15650526,NA
Sir Henry Unton,"Sir William Cecil, Lord Burghley",15920416,15920416,Fontaine-le-Bourg
Sir Thomas More,Desiderius Erasmus,15171105,15171105,Calais
Winifred Dowager Marchioness of Winchester,"Sir William Cecil, Lord Burghley",15860616,15860616,NA
"Sir Robert Cecil, Earl of Salisbury",King James VI,16011004,16011004,NA
George Fremyn (Fremin),William Davison,15790109,15790109,Antwerp
George Beverley,"Sir William Cecil, Lord Burghley",15810408,15810408,Chester
"Jean de la Fin, Seigneur de Beauvoir la Nocle","Sir William Cecil, Lord Burghley",15900928,15900928,Hackney
Sir William Pelham,"Sir William Cecil, Lord Burghley",15870917,15870917,Hague
Balthazar de Moucheron,"Sir William Cecil, Lord Burghley",15970117,15970127,NA
Robert Wingfield,Cardinal Thomas Wolsey,15290101,15291231,NA
King Philip II of Spain,States of Brabant,15980506,15991217,NA
"Henry IV, King of France","Sir William Cecil, Lord Burghley",15900101,15901231,NA
"James Hamilton, 3rd Earl of Arran","James Stewart, 1st Earl of Moray",15591215,15591215,NA
"Robert Dudley, Earl of Leicester",Queen Elizabeth I,15871121,15871121,NA
George Gerland and George Pajysh,"Sir William Cecil, Lord Burghley",15630814,15630814,NA
"Richard Fox (Foxe), Bishop of Winchester",Cardinal Thomas Wolsey,15130516,15130516,Hampton Court
N. Stopio,John Mason,15610809,15610809,Venice
Sir Edward Coke,"Sir Robert Cecil, Earl of Salisbury",16020827,16020827,NA
Nicholas White,"Sir William Cecil, Lord Burghley",15881231,15881231,Leixlip
Peter Osborne,"Sir William Cecil, Lord Burghley",15840101,15841231,NA
Privy Council,"Ralph Eure, Baron Eure",16020720,16020720,NA
"Henry III, King of France",Queen Elizabeth I,15861005,15861015,Saint-Germain-en-Laye
"William Eure, 2nd Baron Eure","Edward Seymour, Duke of Somerset, Lord Protector",15480212,15480212,Wootton
Sir William Fitzwilliam,Privy Council,15880814,15880814,Dublin
Inhabitants of Henley in Arden,Henry VIII,15460101,15461231,Henley in Arden
University of Oxford,"Thomas Cromwell, Earl of Essex",15350802,15350802,Oxford
Laird of Montquhany,"Edward Seymour, Duke of Somerset, Lord Protector",15471218,15471218,Montquhany
Peter Vannes,Cardinal Thomas Wolsey,15280101,15281231,NA
"James Hamilton, 3rd Earl of Arran",Sir James Croft,15591220,15591220,Kinghorn
"Henry Brooke, Baron Cobham","Sir Robert Cecil, Earl of Salisbury",15990731,15990731,NA
Colonel Verdugo,"Charles, Count of Mansfeldt",15881001,15881011,Venlo
"Juan de Silva, Count of Cifuentes","Holy Roman Emperor Charles V, (King Charles I of Spain)",15360816,15360816,Rome
Privy Council,King Philip II of Spain,15560916,15560916,Croydon
The Burgesses of Brussels,Estates General,15771226,15771226,NA
"Maurice of Nassau, Prince of Orange",King James VI,16030212,16030222,NA
"George Carew, Earl of Totnes","Sir Robert Cecil, Earl of Salisbury",15970101,16101231,NA
Sir Thomas Morgan,"Sir William Cecil, Lord Burghley",15911113,15911113,Bergen op Zoom
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15930324,15930324,Dublin Castle
"Edward Stanley, Earl of Derby",Henry VIII,15361101,15361101,NA
Richard Cole,"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",15920101,15921231,NA
N. Stopio,"Sir William Cecil, Lord Burghley",15681130,15681130,Venice
Anthony Paulet,"Sir Robert Cecil, Earl of Salisbury",15971104,15971104,NA
John Scory,Privy Council,15840628,15840628,NA
"Arthur Grey, Baron Grey of Wilton",Sir Francis Walsingham,15820101,15821231,Philipstown
"Sir William Cecil, Lord Burghley",Nicholas White,15820911,15820911,NA
Sir Richard Wingfield,Cardinal Thomas Wolsey,15210713,15210713,Antwerp
Lord General Sir John Norreys,"John Elliott or John Marshall, Sheriffs of Dublin",15960125,15960125,Dublin
Richard Carnsew,Richard Goodall,16020528,16020528,NA
Louise of Savoy,Cardinal Thomas Wolsey,15250607,15250607,Lyons
Sir John Perrott,Privy Council,15850430,15850430,Dublin Castle
Charles Eggarton (Egerton),Sir William Fitzwilliam,15890101,15890131,Knockfergus
Thomas Kerr of Feriehurst,"Sir William Cecil, Lord Burghley",15700223,15700227,NA
Christopher Parkins,"Sir Robert Cecil, Earl of Salisbury",15931122,15931122,Harrow
"Thomas Howard,2nd Duke of Norfolk",Cardinal Thomas Wolsey,15231008,15231008,Newcastle-upon-Tyne
"Thomas Butler, earl of Ormond",Henry Sherwood,16011210,16011210,Knockfergus
Sir Richard Wingfield,Cardinal Thomas Wolsey,15170205,15170205,Calais
"James Eccarsall, Constable of Enniskillen",Sir William Russell,15940608,15940608,Castle of Enniskillen
Sir Francis Stafford,"Sir Robert Cecil, Earl of Salisbury",16020319,16020319,Newry
Anthony Wardman,"Robert Devereux, Earl of Essex",15990110,15990110,York
Thomas Eynns,"Sir William Cecil, Lord Burghley",15700216,15700216,York
Robert Leeth,Privy Council,15711101,15711130,NA
"Sir Thomas Radcliffe, earl of Sussex","Sir William Cecil, Lord Burghley",15700504,15700504,Berwick
Henry Cobham,Sir Thomas Chaloner (Challoner),15630909,15630909,Windsor
Sir Henry Sidney,Commissioners,15740101,15741231,NA
"Edmund Audley, Bishop of Salisbury",Nicholas Pole,15130301,15130301,NA
"Margaret Tudor, Queen consort of Scotland","Thomas Howard,2nd Duke of Norfolk",15231110,15231110,NA
"William Saxey, Chief Justice of Munster","Sir Robert Cecil, Earl of Salisbury",15981205,15981205,NA
Sir Richard Southwell,"Thomas Cromwell, Earl of Essex",15361202,15361202,NA
"Anthony Bridgeman (of Michell Deane, in the county of Gloucester)",Sir Francis Walsingham,15890210,15890210,NA
"Juan Fernandez Manrique, Marquis of Aguilar","Holy Roman Emperor Charles V, (King Charles I of Spain)",15411114,15411114,Rome
William Herle,Sir Francis Walsingham,15820927,15820927,Antwerp
"Henry Percy, 9th Earl of Northumberland",Sir Thomas Heneage,15940521,15940521,NA
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15720707,15720707,NA
"Edward Stanley, Earl of Derby",Henry VIII,15330810,15330810,NA
"William FitzWilliam, 1st Earl of Southampton","Arthur Plantagenet, Lord Lisle",15370526,15370526,York Place
"Robert Devereux, Earl of Essex","Sir Robert Cecil, Earl of Salisbury",15941101,15941130,NA
"George Gordon, 4th Earl of Huntly","Thomas Manners, Earl of Rutland",15420902,15420902,Kelso
Sir Warham St Leger (Sentleger),Privy Council,15991225,15991225,Cork
Richard Pace,Cardinal Thomas Wolsey,15160205,15160205,NA
William Browne,"Sir William Cecil, Lord Burghley",15900714,15900714,Dublin
James V,Mary Queen Regent of Flanders,15330101,15331231,NA
"Thomas Sackville, Baron Buckhurst, Earl of Dorset","Sir Robert Cecil, Earl of Salisbury",16030214,16030214,NA
Mr. William Lambard,"Sir William Cecil, Lord Burghley",15870101,15871231,NA
The Admiral Coligny,"Sir William Cecil, Lord Burghley",15680730,15680730,Noyers
Audley Danett,Lord General Sir John Norreys,15820717,15820717,Bruges
Launcelot Colyns,Cardinal Thomas Wolsey,15151105,15151105,Rome
"Thomas Cromwell, Earl of Essex",Sir Thomas Wyatt (the elder),15230301,15420301,Hampton Court
"Thomas Cromwell, Earl of Essex",Sir Thomas Wyatt (the elder),15230101,15421231,NA
Chancellor of Sweden Nicolaus Guldenstern,"Sir William Cecil, Lord Burghley",15610916,15610916,London
Roger Aston,Robert Bowes,15941129,15941129,Edinburgh
"Thomas Hamling, Mayor of Drogheda","Sir Robert Cecil, Earl of Salisbury",15971025,15971025,Drogheda
Sir Gregory Casale,Cardinal Thomas Wolsey,15290128,15290128,Rome
"Sir Robert Cecil, Earl of Salisbury","Henry FitzGerald, Earl of Kildare",15961001,15961031,London
"Ambrose Dudley, Earl of Warwick","Robert Dudley, Earl of Leicester",15621216,15621216,Havre de Grace
Henry VIII,Nicholas Hawkins,15330706,15330706,NA
"Sir William Cecil, Lord Burghley",William Davison,15861110,15861110,NA
Sir Edmund Bedyngfeld,"Thomas Cromwell, Earl of Essex",15351231,15351231,Kymbalton
"Leonardo Loredan, Doge of Venice",Ambassador at Rome,15091002,15091002,Venice
Queen Elizabeth I,Estates General,15910516,15910516,Theobalds
"Arthur Plantagenet, Lord Lisle",Seneschal of Boulonnais,15340613,15340613,Calais
Sir Amias Paulet,"Sir William Cecil, Lord Burghley",15781229,15781229,Paris
Henry Phillips,Christ. Joy,15380117,15380117,Louvain
Adam Loftus,"Sir Robert Cecil, Earl of Salisbury",16001117,16001117,Dublin
"Dorothy Stafford, Lady Stafford",Sir Michael Hicks (Hickes),15730101,15981231,NA
Cardinal Thomas Wolsey,"Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15221101,15221130,Westminster
Queen Elizabeth I,"Peregrine Bertie, Baron Willoughby of Eresby",15890108,15890108,NA
Lord General Sir John Norreys,Geoffrey Fenton,15970428,15970428,Dundalk
Spanish Commissioners,English Commissioners,16000528,16000607,NA
"Hugh O'Neill, Earl of Tyrone",King Philip II of Spain,15970101,15971231,NA
William Stanton,Sir Walter Mildmay,15730329,15730329,NA
G. Fetyplace,William Darrell,15610101,15891001,London
Richard Taverner,"Matthew Parker, Archbishop of Canterbury",15460121,15460121,Hampton Court
Bertrand de Salignac de la Mothe Fenelon,"Sir William Cecil, Lord Burghley",15710909,15710909,London
Thomas Hesketh,"Sir Robert Cecil, Earl of Salisbury",16020315,16020315,NA
E. Lady Savage,"Thomas Cromwell, Earl of Essex",15361109,15361109,Finchley
"Holy Roman Emperor Charles V, (King Charles I of Spain)","Inigo Mendoza, Bishop of Burgos",15280206,15280206,Burgos
George Gilpin,"Sir William Cecil, Lord Burghley",15931217,15931217,Hague
Henry Saunder,"Sir Robert Cecil, Earl of Salisbury",16000901,16000930,NA
Robert Wingfield,Henry VIII,15271030,15271030,Calais
Isabel Countess of Rutland,"Sir Robert Cecil, Earl of Salisbury",16010706,16010706,Stepney
"Paul Strange, Mayor of Waterford",Adam Loftus,15971210,15971210,Waterford
Queen Elizabeth I,"Sir William Cecil, Lord Burghley",15701013,15701013,Windsor Castle
Mr. William Kymptom,"Edward Fiennes de Clinton, Earl of Lincoln",15790101,15791231,NA
"Mayor, Bailiffs, and Burgesses of Aberdeen","Sir William Cecil, Lord Burghley",15850101,15851231,NA
"Gerald Fitzgerald, earl of Desmond",Sir William Drury,15790720,15790720,White's town
"Holy Roman Emperor Charles V, (King Charles I of Spain)",Mary Queen Regent of Flanders,15390215,15390215,Toledo
Robert Bowes,George Nicholson,15961214,15961214,Edinburgh
R. Lema&#x00E7;on alias la Fontaine,"Sir Robert Cecil, Earl of Salisbury",15960626,15960707,NA
Margaret,"Maximilian I, Holy Roman Emperor",15110722,15110722,Antwerp
