from,to,date_from,date_to,place_from
Dr Thomas Wilson,"Sir William Cecil, Lord Burghley",15760101,15761231,NA
Sir Arthur Gorges,"Sir Robert Cecil, Earl of Salisbury",15930917,15930917,NA
Thomas Bennett,"Sir William Cecil, Lord Burghley",15890101,15981231,NA
"Silvestro de Gigli, Bishop of Worcester",Cardinal Thomas Wolsey,15140831,15140831,Rome
Queen Mary I,"Thomas Cromwell, Earl of Essex",15360530,15360530,Hunsdon
John Rogers,Privy Council,15480501,15480531,Boulogne
Guido Giannetti,Queen Elizabeth I,15660125,15660125,Padua
William Stallenge,"Sir Robert Cecil, Earl of Salisbury",16000429,16000429,Plymouth
Francis Nedham,Nicholas Williamson,15910912,15910912,NA
"Henry III, King of France",Sieur de Poigny,15881013,15881023,NA
Lord Cobham,Dr Thomas Wilson,15800415,15800415,Paris
Robert Bowes,"Sir William Cecil, Lord Burghley",15800627,15800627,Berwick
"Thomas Howard, 4th Duke of Norfolk","Sir William Cecil, Lord Burghley",15590111,15590111,NA
Edward White (clerk of the council in Connaught),Sir Francis Walsingham,15790809,15790809,Limerick
Queen Elizabeth I,"Henry IV, King of France",15930701,15930731,NA
Sir Julius Caesar,Privy Council,15851111,15851111,London
Cardinal Lorenzo Campeggio (Campeius),Cardinal Thomas Wolsey,15240121,15240121,Rome
Queen Elizabeth I,"James Douglas, Earl of Morton",15800622,15800622,NA
Christopher Parkins,"Sir Robert Cecil, Earl of Salisbury",15960714,15960714,NA
King Edward VI,Sir Thomas Chaloner (Challoner),0,0,NA
"Alice, Countess Dowager of Derby","Sir Robert Cecil, Earl of Salisbury",15940411,15940411,Manor of Lathom
"Robert Sidney, Earl of Leicester","Robert Devereux, Earl of Essex",15960802,15960802,Flushing
Mr. William Cecill,"Sir William Cecil, Lord Burghley",15931117,15931117,Dublin
James Beaton,"Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15230625,15230625,The Quenes Fyrry
King James VI,"Francis Stewart, Earl of Bothwell",15930816,15930816,Edinburgh
Desiderius Erasmus,John Fisher,15180423,15180423,Louvain
Queen Mary I,Nicholas Brigham,15580512,15580512,NA
